apt_name_dp,apt_IATA_dp,apt_time_dt_dp,apt_time_tm_dp,Country_dp,City_dp,apt_name_ds,apt_IATA_ds,apt_time_dt_ds,apt_time_tm_ds,City_ds,Country_ds,trip_class,price,ticket_sold_by,travel_type
Newark Liberty International Airport,EWR,2025-12-13,19:55:00,USA,Newark,Dublin Airport,DUB,2025-12-14,07:30:00,Dublin,Ireland,Economy,405,"['Lufthansa', 'Austrian', 'Brussels Airlines']",One way
Newark Liberty International Airport,EWR,2025-12-13,22:15:00,USA,Newark,Dublin Airport,DUB,2025-12-14,09:55:00,Dublin,Ireland,Economy,405,['Lufthansa'],One way
Newark Liberty International Airport,EWR,2025-12-20,17:45:00,USA,Newark,Dublin Airport,DUB,2025-12-21,05:15:00,Dublin,Ireland,Economy,2119,"['Iberia', 'American']",One way
Newark Liberty International Airport,EWR,2025-12-20,19:55:00,USA,Newark,Dublin Airport,DUB,2025-12-21,07:30:00,Dublin,Ireland,Economy,1304,"['Lufthansa', 'Austrian', 'Brussels Airlines']",One way
Newark Liberty International Airport,EWR,2025-12-20,22:15:00,USA,Newark,Dublin Airport,DUB,2025-12-21,09:55:00,Dublin,Ireland,Economy,1722,['Lufthansa'],One way
Newark Liberty International Airport,EWR,2025-12-27,17:45:00,USA,Newark,Dublin Airport,DUB,2025-12-28,05:15:00,Dublin,Ireland,Economy,1496,"['American', 'Iberia']",One way
Newark Liberty International Airport,EWR,2025-12-27,19:55:00,USA,Newark,Dublin Airport,DUB,2025-12-28,07:30:00,Dublin,Ireland,Economy,515,"['Austrian', 'Lufthansa', 'Brussels Airlines']",One way
Newark Liberty International Airport,EWR,2025-12-27,22:15:00,USA,Newark,Dublin Airport,DUB,2025-12-28,09:55:00,Dublin,Ireland,Economy,659,['Lufthansa'],One way
Newark Liberty International Airport,EWR,2026-01-03,17:45:00,USA,Newark,Dublin Airport,DUB,2026-01-04,05:15:00,Dublin,Ireland,Economy,1838,"['Iberia', 'American']",One way
Newark Liberty International Airport,EWR,2026-01-03,19:55:00,USA,Newark,Dublin Airport,DUB,2026-01-04,07:30:00,Dublin,Ireland,Economy,650,"['Austrian', 'Lufthansa', 'Brussels Airlines']",One way
Newark Liberty International Airport,EWR,2026-01-03,22:15:00,USA,Newark,Dublin Airport,DUB,2026-01-04,09:55:00,Dublin,Ireland,Economy,650,['Lufthansa'],One way
Newark Liberty International Airport,EWR,2026-01-10,17:45:00,USA,Newark,Dublin Airport,DUB,2026-01-11,05:15:00,Dublin,Ireland,Economy,722,"['American', 'Iberia']",One way
Newark Liberty International Airport,EWR,2026-01-10,19:55:00,USA,Newark,Dublin Airport,DUB,2026-01-11,07:30:00,Dublin,Ireland,Economy,455,"['Lufthansa', 'Austrian', 'Brussels Airlines']",One way
Newark Liberty International Airport,EWR,2026-01-17,17:45:00,USA,Newark,Dublin Airport,DUB,2026-01-18,05:15:00,Dublin,Ireland,Economy,455,"['American', 'Iberia']",One way
Newark Liberty International Airport,EWR,2026-01-17,19:55:00,USA,Newark,Dublin Airport,DUB,2026-01-18,07:30:00,Dublin,Ireland,Economy,405,"['Lufthansa', 'Austrian', 'Brussels Airlines']",One way
Newark Liberty International Airport,EWR,2026-01-24,17:45:00,USA,Newark,Dublin Airport,DUB,2026-01-25,05:15:00,Dublin,Ireland,Economy,455,"['American', 'Iberia']",One way
Newark Liberty International Airport,EWR,2026-01-24,19:55:00,USA,Newark,Dublin Airport,DUB,2026-01-25,07:30:00,Dublin,Ireland,Economy,405,"['Lufthansa', 'Austrian', 'Brussels Airlines']",One way
Newark Liberty International Airport,EWR,2026-01-31,17:45:00,USA,Newark,Dublin Airport,DUB,2026-02-01,05:15:00,Dublin,Ireland,Economy,455,"['American', 'Iberia']",One way
Newark Liberty International Airport,EWR,2026-01-31,19:55:00,USA,Newark,Dublin Airport,DUB,2026-02-01,07:30:00,Dublin,Ireland,Economy,405,"['Lufthansa', 'Austrian', 'Brussels Airlines']",One way
Newark Liberty International Airport,EWR,2026-02-07,17:45:00,USA,Newark,Dublin Airport,DUB,2026-02-08,05:15:00,Dublin,Ireland,Economy,455,"['American', 'Iberia']",One way
Newark Liberty International Airport,EWR,2026-02-07,19:55:00,USA,Newark,Dublin Airport,DUB,2026-02-08,07:30:00,Dublin,Ireland,Economy,405,"['Lufthansa', 'Austrian', 'Brussels Airlines']",One way
Newark Liberty International Airport,EWR,2026-02-14,17:45:00,USA,Newark,Dublin Airport,DUB,2026-02-15,05:15:00,Dublin,Ireland,Economy,455,"['American', 'Iberia']",One way
Newark Liberty International Airport,EWR,2026-02-14,19:55:00,USA,Newark,Dublin Airport,DUB,2026-02-15,07:30:00,Dublin,Ireland,Economy,455,"['Lufthansa', 'Austrian', 'Brussels Airlines']",One way
Los Angeles International Airport,LAX,2025-11-29,19:05:00,USA,Los Angeles,Auckland Airport,AKL,2025-12-01,05:00:00,Auckland,New Zealand,Economy,1415,[],One way
Los Angeles International Airport,LAX,2025-11-29,20:10:00,USA,Los Angeles,Auckland Airport,AKL,2025-12-01,06:05:00,Auckland,New Zealand,Economy,1415,[],One way
Los Angeles International Airport,LAX,2025-11-29,20:15:00,USA,Los Angeles,Dublin Airport,DUB,2025-11-30,14:30:00,Dublin,Ireland,Economy,727,"['American', 'Iberia']",One way
Los Angeles International Airport,LAX,2025-11-29,22:25:00,USA,Los Angeles,Auckland Airport,AKL,2025-12-01,08:35:00,Auckland,New Zealand,Economy,1324,[],One way
Los Angeles International Airport,LAX,2025-12-06,19:05:00,USA,Los Angeles,Auckland Airport,AKL,2025-12-08,05:00:00,Auckland,New Zealand,Economy,1689,[],One way
Los Angeles International Airport,LAX,2025-12-06,20:10:00,USA,Los Angeles,Auckland Airport,AKL,2025-12-08,06:05:00,Auckland,New Zealand,Economy,1689,[],One way
Los Angeles International Airport,LAX,2025-12-06,20:15:00,USA,Los Angeles,Dublin Airport,DUB,2025-12-07,14:30:00,Dublin,Ireland,Economy,727,"['American', 'Iberia']",One way
Los Angeles International Airport,LAX,2025-12-06,22:25:00,USA,Los Angeles,Auckland Airport,AKL,2025-12-08,08:35:00,Auckland,New Zealand,Economy,1597,[],One way
